"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"U4,U3,U2,U1";"PWP28_6P17X2P4";4;"TPA3111D1PWPR";;;
2;"JP8,JP7,JP6,JP5,JP4,JP3,JP2,JP1";"R_1206_3216Metric_Pad1.30x1.75mm_HandSolder";8;"Jumper_1206";;;
3;"C74,C8,C14,C52,C53,C37,C9,C38,C23,C22";"WCAP-ASLI_6.3X7.7_DXL_";10;"100u";;;
4;"R16,R15,R14,R13,R12,R11,R10,R9";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";8;"0";;;
5;"C73,C72,C71,C70,C69,C68,C67,C66,C65,C64,C63,C62";"C_0805_2012Metric_Pad1.18x1.45mm_HandSolder";12;"C_Small";;;
6;"J15,J14,J13,J12,J11,J10,J9,J8";"PinSocket_1x03_P2.54mm_Vertical";8;"Conn_01x03_Pin";;;
7;"C5,C56,C39,C55,C49,C40,C34,C25,C24,C19,C10,C11";"C_0805_2012Metric_Pad1.18x1.45mm_HandSolder";12;"0.1u";;;
8;"L3,L2,L4,L1,L7,L8,L6,L5";"L_Taiyo-Yuden_NR-80xx_HandSoldering";8;"68u";;;
9;"C57,C59,C41,C27,C42,C26,C12,C13";"C_0805_2012Metric_Pad1.18x1.45mm_HandSolder";8;"1000p";;;
10;"C7,C51,C35,C36,C21,C6,C50,C20";"C_0805_2012Metric_Pad1.18x1.45mm_HandSolder";8;"0.47u";;;
11;"C44,C29,C54,C58,C28,C61,C43,C60";"C_0805_2012Metric_Pad1.18x1.45mm_HandSolder";8;"0.5u";;;
12;"R7,R3,R8,R5,R6,R1,R4,R2";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";8;"100k";;;
13;"J4,J6,J5,J1,J2,J3";"691137710002";6;"Screw Terminal";;;
14;"C48,C16,C45,C31,C4,C33,C32,C30,C47,C15,C1,C18,C2,C17,C46,C3";"C_0805_2012Metric_Pad1.18x1.45mm_HandSolder";16;"1u";;;
15;"J7";"ASSMANN_A-DF_09_A_KG-T4S";1;"A-DF_09_A_KG-T4S";;;
